email,1_Midterm Exam (75),2_Final Exam (100),3_Practice Midterm (25),4_Practice Final (40),5_Unit 2 Peer Evaluation (15),6_Unit 4 Peer Evaluation (20)
8929709@flowghost.test,75,95,0,36,15,20
8888313@flowghost.test,67,67,0,33,3,17
2615773@flowghost.test,71,85,0,36,15,20
4467122@flowghost.test,67,92,18,0,15,20
4992826@flowghost.test,75,89,21,0,15,20
8140478@flowghost.test,62,89,21,0,15,20
6297023@flowghost.test,71,89,21,0,15,19
1472192@flowghost.test,71,94,22,0,15,20
8756660@flowghost.test,75,75,25,0,15,20
8143550@flowghost.test,75,76,19,0,14,20
786386@flowghost.test,75,75,0,31,15,20
5727301@flowghost.test,75,75,21,0,15,20
4560850@flowghost.test,75,90,21,0,15,20
2578925@flowghost.test,75,84,0,33,15,20
7579013@flowghost.test,75,80,17,0,15,20
6382230@flowghost.test,75,67,17,0,14,20
8399322@flowghost.test,75,75,19,0,15,20
2809603@flowghost.test,75,85,22,0,15,20
6919116@flowghost.test,54,64,0,0,15,18
6676727@flowghost.test,75,87,0,33,15,20
6081253@flowghost.test,71,79,24,0,15,19
379578@flowghost.test,75,65,19,0,15,20
3205880@flowghost.test,58,77,0,24,15,20
3120747@flowghost.test,75,80,22,0,15,20
5059317@flowghost.test,75,92,25,0,15,20
4294107@flowghost.test,75,80,15,0,15,20
5565842@flowghost.test,75,98,21,0,15,20
8085126@flowghost.test,62,44,15,0,15,20
9912455@flowghost.test,67,80,22,0,15,20
7637858@flowghost.test,62,69,21,0,15,20
1750665@flowghost.test,75,79,21,0,15,20
4568665@flowghost.test,62,71,21,0,14,19
2441030@flowghost.test,67,82,18,0,15,20
6091804@flowghost.test,75,95,19,0,15,20
5986815@flowghost.test,75,94,14,0,15,20
2979666@flowghost.test,75,71,22,0,15,20
6839906@flowghost.test,75,89,19,0,15,20
8525669@flowghost.test,71,66,18,0,15,20
2095499@flowghost.test,75,64,0,31,15,20
7580548@flowghost.test,75,90,22,0,15,20
4906036@flowghost.test,67,85,19,0,15,20
5784503@flowghost.test,75,91,21,0,15,20
5794080@flowghost.test,71,83,24,0,15,20
2412534@flowghost.test,62,65,19,0,15,20
5587497@flowghost.test,75,84,0,31,15,20
1766405@flowghost.test,75,80,0,0,15,20
9904515@flowghost.test,71,68,19,0,14,19
2348389@flowghost.test,58,57,15,0,15,20
534689@flowghost.test,62,80,21,0,14,19
7606932@flowghost.test,67,89,21,0,15,20
9060391@flowghost.test,62,96,21,0,0,20
9976822@flowghost.test,75,80,24,0,0,20
5022136@flowghost.test,75,80,0,33,0,20
1591571@flowghost.test,75,95,25,0,0,20
